============================================================
--- f = 600.0 Hz | active modes = [0, 1] (2 modes) ---
============================================================

--- Phase 1: Mode 0 | Adam (max 40001 steps) ---
[Adam M0] Step 21800 | pde 1.90e-02 | bc 7.71e-03 | total 2.67e-02 | scales [10.683845   3.9334192]
[Adam M0] Step 22000 | pde 1.89e-02 | bc 7.45e-03 | total 2.64e-02 | scales [10.683851   3.9411407]
[Adam M0] Step 22200 | pde 1.35e-02 | bc 8.50e-03 | total 2.21e-02 | scales [10.690116   3.9083197]
[Adam M0] Step 22400 | pde 1.07e-01 | bc 2.62e-03 | total 1.10e-01 | scales [10.685482   3.8399591]
[Adam M0] Step 22600 | pde 1.16e-01 | bc 7.61e-03 | total 1.24e-01 | scales [10.701      3.7238111]
[Adam M0] Step 22800 | pde 1.35e-02 | bc 5.87e-03 | total 1.94e-02 | scales [10.695771   3.9755428]
[Adam M0] Step 23000 | pde 1.13e-02 | bc 1.08e-02 | total 2.20e-02 | scales [10.689005   3.8268886]
[Adam M0] Step 23200 | pde 2.84e-02 | bc 5.81e-03 | total 3.42e-02 | scales [10.689      3.8831828]
[Adam M0] Step 23400 | pde 5.08e-02 | bc 1.05e-02 | total 6.13e-02 | scales [10.6791315  3.9597223]
[Adam M0] Step 23600 | pde 1.52e-02 | bc 7.20e-03 | total 2.24e-02 | scales [10.678757  3.975291]
[Adam M0] Step 23800 | pde 7.74e-02 | bc 5.18e-03 | total 8.26e-02 | scales [10.671013   3.8947594]
[Adam M0] Step 24000 | pde 1.88e-02 | bc 6.75e-03 | total 2.55e-02 | scales [10.666444  3.942983]
[Adam M0] Step 24200 | pde 2.04e-02 | bc 4.50e-03 | total 2.49e-02 | scales [10.666449   3.9960198]
[Adam M0] Step 24400 | pde 6.61e-02 | bc 3.87e-03 | total 7.00e-02 | scales [10.666347   3.9224885]
[Adam M0] Step 24600 | pde 1.69e-02 | bc 3.86e-03 | total 2.08e-02 | scales [10.679665   3.7495205]
[Adam M0] Step 24800 | pde 1.49e-02 | bc 6.67e-03 | total 2.16e-02 | scales [10.681517   3.9738905]
[Adam M0] Step 25000 | pde 1.37e-02 | bc 6.62e-03 | total 2.03e-02 | scales [10.67706    3.9425955]
[Adam M0] Step 25200 | pde 9.12e-03 | bc 5.26e-03 | total 1.44e-02 | scales [10.681377  3.94045 ]
[Adam M0] Step 25400 | pde 1.26e-02 | bc 4.29e-03 | total 1.69e-02 | scales [10.681372   3.9375002]
[Adam M0] Step 25600 | pde 1.02e-02 | bc 4.55e-03 | total 1.48e-02 | scales [10.672298  3.908933]
[Adam M0] Step 25800 | pde 7.46e-02 | bc 9.71e-04 | total 7.56e-02 | scales [10.678289   3.9042797]
[Adam M0] Step 26000 | pde 2.77e-02 | bc 3.73e-04 | total 2.81e-02 | scales [10.671026  3.847928]
[Adam M0] Step 26200 | pde 7.77e-03 | bc 4.32e-03 | total 1.21e-02 | scales [10.673014   3.9812436]
[Adam M0] Step 26400 | pde 2.09e-02 | bc 9.09e-03 | total 3.00e-02 | scales [10.677329   3.9890668]
[Adam M0] Step 26600 | pde 4.83e-03 | bc 4.40e-03 | total 9.24e-03 | scales [10.672051   3.9729617]
[Adam M0] Step 26800 | pde 8.11e-03 | bc 3.48e-03 | total 1.16e-02 | scales [10.672056   3.9748945]
[Adam M0] Step 27000 | pde 7.38e-02 | bc 9.77e-04 | total 7.47e-02 | scales [10.67577   3.817026]
[Adam M0] Step 27200 | pde 6.80e-03 | bc 4.03e-03 | total 1.08e-02 | scales [10.671424   3.9168262]
